Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
3CB1452,407388,425510,2,11/12/2016,2115,6,U,2,4,1,Calderdale,2,3,2,45,2,9
3CC1318,399318,427267,1,12/12/2016,1318,6,U,1,1,1,Calderdale,3,2,2,72,1,9
3CE1657,412972,429004,3,14/12/2016,2039,3,A6036,1,4,1,Calderdale,1,1,1,29,1,9
3CF0983,416317,422076,3,15/12/2016,1609,1,M62,1,4,1,Calderdale,1,3,1,53,1,9
3CF1536,411039,420727,2,14/12/2016,1800,6,U,1,4,1,Calderdale,2,3,2,59,1,9
3CG1544,399532,427000,2,16/12/2016,1730,3,A646,1,4,1,Calderdale,1,3,1,50,2,5
3CG1838,407612,425896,1,16/12/2016,2238,6,U,1,4,1,Calderdale,3,3,1,15,1,9
3CI0903,409951,425657,2,18/12/2016,405,3,A58,1,4,1,Calderdale,1,3,1,32,1,8
3CI1167,406521,423797,2,18/12/2016,1700,3,A58,1,4,1,Calderdale,1,3,1,33,2,5
3CJ0402,404367,416732,1,19/12/2016,1000,1,M62,1,1,1,Calderdale,1,3,2,34,1,9
3CJ1043,412612,428904,2,19/12/2016,1643,3,A6036,2,4,1,Calderdale,1,3,1,17,2,3
3CJ1121,405786,424180,2,19/12/2016,1710,3,A646,2,4,1,Calderdale,1,3,1,17,2,3
3CM0935,407067,428164,1,22/12/2016,1555,3,A629,1,1,1,Calderdale,3,3,1,82,1,8
3CN1275,409520,424564,2,23/12/2016,1800,6,U,2,4,5,Calderdale,1,3,1,22,1,9
3CN1502,393629,424137,1,23/12/2016,2050,3,A1502,2,4,2,Calderdale,3,2,1,26,1,8
3CO0819,408916,425399,2,24/12/2016,1325,6,U,2,1,2,Calderdale,1,3,2,43,1,9
3CO0819,408916,425399,2,24/12/2016,1325,6,U,2,1,2,Calderdale,2,3,1,15,1,9
3CQ1558,408328,425108,2,26/12/2016,2304,6,U,1,4,1,Calderdale,2,2,2,26,1,8
3CQ1558,408328,425108,2,26/12/2016,2304,6,U,1,4,1,Calderdale,1,2,1,66,1,8
3CV1626,389969,426221,4,31/12/2016,2346,6,U,2,4,2,Calderdale,1,3,1,27,1,9
