dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration
15K667,93%,71%,N/A,89%,70%,51%,82%,68%,50%,85%,88%,2011-2012, P,WD,WD,WD,WD
15K684,99%,N/A,N/A,97%,N/A,N/A,82%,68%,50%,83%,91%,2013-2014, P, P, P, P, P
16K393,71%,78%,19%,74%,65%,43%,82%,68%,50%,94%,98%,2011-2012, P, P, P, P, P
16K455,55%,44%,19%,68%,42%,20%,82%,68%,50%,84%,82%,2012-2013, D, D, D, P, D
16K498,91%,59%,41%,83%,79%,33%,82%,68%,50%,73%,75%,2010-2011, P, P, P, P, D
16K594,82%,66%,31%,86%,62%,37%,82%,68%,50%,81%,92%,2013-2014,WD, P,WD,WD, P
16K688,52%,55%,N/A,71%,43%,26%,82%,68%,50%,45%,76%,2013-2014, D, D, D, D, D
16K765,N/A,N/A,N/A,N/A,N/A,N/A,82%,68%,50%,N/A,N/A,,,,,,
17K122,85%,N/A,N/A,79%,N/A,N/A,82%,68%,50%,65%,83%,2013-2014, P, P, D,WD, P
17K382,78%,71%,53%,68%,63%,47%,82%,68%,50%,59%,61%,2013-2014, P, P, P, P, P
17K408,64%,46%,42%,67%,68%,24%,82%,68%,50%,57%,53%,2012-2013, P, D, D, P, D
17K524,83%,66%,43%,88%,57%,39%,82%,68%,50%,86%,82%,2011-2012, P, P, P, P, P
17K528,83%,57%,52%,92%,55%,33%,82%,68%,50%,74%,82%,2012-2013, P, P, P, P, P
17K531,88%,70%,58%,85%,82%,48%,82%,68%,50%,81%,79%,2010-2011, D, P, P,WD, P
17K533,85%,54%,44%,57%,63%,30%,82%,68%,50%,75%,59%,2013-2014, P, D, D,WD, P
17K537,83%,68%,51%,85%,71%,46%,82%,68%,50%,77%,75%,2011-2012, P, D, D, D, D
17K539,86%,71%,38%,79%,75%,38%,82%,68%,50%,77%,71%,,,,,,
17K543,95%,96%,97%,92%,95%,89%,82%,68%,50%,92%,86%,2010-2011, P, P,WD,WD,WD
17K546,93%,94%,81%,90%,93%,76%,82%,68%,50%,82%,78%,,,,,,
17K547,87%,64%,42%,89%,78%,48%,82%,68%,50%,67%,67%,2012-2013,WD, P, P, P, P
17K548,85%,68%,40%,82%,72%,38%,82%,68%,50%,71%,64%,2013-2014, D, D, P, P, P
17K590,92%,96%,84%,90%,92%,72%,82%,68%,50%,67%,72%,2012-2013,WD, P, P,WD, P
17K600,69%,72%,58%,67%,77%,58%,82%,68%,50%,68%,56%,2012-2013, D, D, D, P, D
17K745,89%,N/A,N/A,96%,N/A,N/A,82%,68%,50%,77%,86%,,,,,,
17K751,70%,N/A,N/A,74%,71%,N/A,82%,68%,50%,64%,70%,2012-2013, D, D, D, P, P
18K563,93%,89%,79%,97%,91%,77%,82%,68%,50%,86%,60%,2011-2012, P,WD,WD,WD,WD
18K566,73%,51%,47%,82%,50%,36%,82%,68%,50%,62%,83%,2011-2012, D, D, P, P, P
18K567,71%,63%,45%,75%,66%,46%,82%,68%,50%,83%,81%,2013-2014, P, D, P, P, P
18K569,80%,72%,53%,82%,78%,47%,82%,68%,50%,87%,80%,2011-2012, P, P, P, P, P
18K576,86%,87%,54%,93%,68%,56%,82%,68%,50%,86%,86%,2011-2012, P, P,WD,WD,WD
18K589,84%,45%,45%,71%,55%,21%,82%,68%,50%,56%,81%,2012-2013, P, P, P, P,WD
18K617,66%,68%,45%,82%,70%,51%,82%,68%,50%,68%,85%,2013-2014, D, D, D, P, P
18K629,69%,65%,39%,68%,61%,37%,82%,68%,50%,74%,80%,2012-2013, D, D, D, D, D
18K633,96%,93%,68%,96%,90%,60%,82%,68%,50%,66%,82%,2012-2013,WD, P, P,WD,WD
18K637,86%,61%,41%,80%,68%,40%,82%,68%,50%,66%,69%,2013-2014, P, P, P, P,WD
18K642,77%,68%,27%,82%,61%,46%,82%,68%,50%,73%,79%,2012-2013, P, P, D, P, P
19K404,84%,65%,49%,85%,80%,49%,82%,68%,50%,76%,80%,2011-2012,WD,WD,WD,WD,WD
19K409,86%,87%,62%,93%,93%,62%,82%,68%,50%,56%,80%,2013-2014, P, D, P, P, P
19K422,N/A,N/A,N/A,N/A,N/A,N/A,82%,68%,50%,91%,86%,,,,,,
19K502,83%,65%,15%,70%,72%,26%,82%,68%,50%,83%,78%,2012-2013, P, P, P, P, P
19K504,84%,57%,24%,68%,52%,25%,82%,68%,50%,80%,72%,2010-2011,WD,WD, P, P,WD
19K507,85%,70%,37%,74%,71%,34%,82%,68%,50%,72%,75%,2012-2013,WD, P, P, P, P
19K510,82%,65%,47%,62%,58%,48%,82%,68%,50%,53%,58%,2012-2013, P, D, D, D, D
19K583,81%,29%,25%,87%,44%,18%,82%,68%,50%,87%,82%,2013-2014, P, D, D, P, P
19K615,53%,67%,42%,47%,64%,37%,82%,68%,50%,60%,53%,2013-2014, D, D, D, D, D
19K618,90%,53%,53%,82%,67%,48%,82%,68%,50%,85%,81%,2013-2014, P, P, P,WD, P
19K639,70%,50%,30%,63%,53%,27%,82%,68%,50%,77%,79%,2013-2014, P, D, D, P, P
19K659,77%,47%,34%,60%,50%,31%,82%,68%,50%,78%,80%,2013-2014, P, D, D, P, P
19K660,78%,65%,30%,75%,50%,26%,82%,68%,50%,76%,81%,2013-2014, P, P, P, P, P
19K683,85%,83%,48%,83%,84%,39%,82%,68%,50%,72%,78%,2011-2012,WD,WD,WD, P,WD
19K764,N/A,N/A,N/A,N/A,N/A,N/A,82%,68%,50%,N/A,N/A,,,,,,
20K445,77%,68%,60%,81%,70%,54%,82%,68%,50%,80%,75%,2013-2014, P, D, D, P, P
20K485,91%,83%,79%,89%,87%,70%,82%,68%,50%,84%,93%,,,,,,
20K490,81%,70%,58%,81%,68%,58%,82%,68%,50%,85%,78%,2013-2014, D, D, D, P, D
20K505,70%,60%,49%,70%,58%,49%,82%,68%,50%,81%,82%,2011-2012, P, D, P, P, P
20K609,83%,N/A,N/A,88%,95%,N/A,82%,68%,50%,77%,89%,2013-2014, P, P, D, P, P
21K337,81%,50%,41%,95%,61%,41%,82%,68%,50%,84%,82%,2013-2014, P, P, P, P, P
21K344,81%,78%,52%,75%,70%,61%,82%,68%,50%,64%,81%,2013-2014, P, D, P, P, P
21K348,79%,74%,57%,74%,83%,40%,82%,68%,50%,70%,72%,2012-2013, D, D, D, P, P
21K410,76%,67%,55%,77%,69%,52%,82%,68%,50%,86%,77%,2012-2013, P, D, P, P,WD
21K468,96%,91%,N/A,97%,93%,86%,82%,68%,50%,62%,68%,2010-2011,WD,WD,WD, P,WD
21K525,80%,78%,76%,81%,81%,67%,82%,68%,50%,85%,80%,2013-2014, P, D, P, P, D
21K540,84%,74%,57%,86%,79%,56%,82%,68%,50%,83%,81%,2012-2013, P, D, D, P, D
21K559,85%,91%,49%,93%,92%,40%,82%,68%,50%,72%,85%,2012-2013, P, P, P, P, P
21K572,92%,75%,56%,86%,81%,64%,82%,68%,50%,81%,89%,2012-2013, P, P,WD, P,WD
21K620,54%,61%,38%,73%,57%,27%,82%,68%,50%,81%,74%,2012-2013, P, D, D,WD, D
21K690,78%,76%,61%,83%,78%,55%,82%,68%,50%,55%,76%,2013-2014, P, D, D, D, D
22K405,92%,85%,74%,93%,89%,74%,82%,68%,50%,93%,82%,2013-2014, P, P, P, P, P
22K425,80%,75%,60%,85%,76%,63%,82%,68%,50%,80%,70%,2013-2014, D, D, P,WD, P
22K535,96%,96%,87%,92%,96%,91%,82%,68%,50%,72%,90%,,,,,,
22K555,97%,97%,92%,97%,99%,90%,82%,68%,50%,37%,93%,2013-2014,WD,WD, P,WD, P
22K611,N/A,N/A,N/A,84%,N/A,N/A,82%,68%,50%,64%,77%,,,,,,
23K493,66%,55%,49%,62%,56%,40%,82%,68%,50%,71%,72%,2013-2014, P, D, P, P, P
23K514,68%,59%,46%,73%,53%,37%,82%,68%,50%,48%,69%,,,,,,
23K644,57%,N/A,N/A,74%,N/A,N/A,82%,68%,50%,87%,79%,2012-2013, P, D, P,WD, P
23K697,63%,73%,55%,74%,67%,47%,82%,68%,50%,51%,55%,2012-2013, D, D, D, D, P
24Q236,N/A,N/A,N/A,61%,N/A,N/A,85%,71%,56%,85%,84%,,,,,,
24Q264,94%,90%,83%,94%,91%,73%,85%,71%,56%,75%,92%,,,,,,
24Q267,89%,80%,60%,88%,70%,52%,85%,71%,56%,48%,83%,,,,,,
24Q293,93%,85%,59%,94%,80%,81%,85%,71%,56%,84%,97%,2013-2014, P, D, D,WD, P
24Q296,65%,42%,33%,90%,50%,27%,85%,71%,56%,83%,87%,2013-2014, D, D, P, P, P
24Q299,99%,96%,99%,99%,99%,86%,85%,71%,56%,90%,98%,,,,,,
24Q455,82%,61%,49%,80%,65%,40%,85%,71%,56%,88%,86%,2012-2013, D, D, D, D, D
24Q485,70%,60%,37%,73%,58%,38%,85%,71%,56%,79%,76%,2013-2014, P, D, P,WD, P
24Q520,83%,74%,69%,81%,70%,50%,85%,71%,56%,80%,88%,2013-2014, P, P, P, P, D
24Q530,95%,70%,60%,91%,82%,64%,85%,71%,56%,88%,96%,,,,,,
24Q550,90%,83%,63%,91%,85%,58%,85%,71%,56%,75%,91%,2010-2011,WD, P, P,WD, P
24Q560,91%,86%,68%,93%,82%,73%,85%,71%,56%,81%,93%,2012-2013, D, D, D, P, D
24Q585,99%,N/A,N/A,99%,N/A,N/A,85%,71%,56%,84%,85%,2013-2014, P, P, P,WD, P
24Q600,87%,80%,55%,82%,80%,62%,85%,71%,56%,74%,82%,2011-2012,WD,WD,WD,WD,WD
24Q610,96%,88%,80%,95%,94%,82%,85%,71%,56%,81%,88%,,,,,,
25Q240,N/A,N/A,N/A,93%,N/A,N/A,85%,71%,56%,64%,86%,,,,,,
25Q241,N/A,N/A,N/A,97%,N/A,N/A,85%,71%,56%,81%,94%,,,,,,
25Q252,89%,92%,90%,87%,93%,86%,85%,71%,56%,60%,85%,2013-2014,WD, P, D,WD, D
25Q263,85%,70%,51%,71%,69%,58%,85%,71%,56%,88%,90%,2011-2012, P, P, P, P, P
25Q281,86%,92%,75%,87%,92%,80%,85%,71%,56%,71%,86%,2011-2012,WD, P, P,WD,WD
25Q285,98%,91%,76%,99%,95%,80%,85%,71%,56%,36%,84%,2011-2012,WD,WD,WD,WD,WD
25Q425,80%,66%,47%,82%,66%,51%,85%,71%,56%,79%,75%,2012-2013, P, P, P, P, P
25Q460,68%,54%,41%,70%,57%,39%,85%,71%,56%,73%,67%,2013-2014, D, D, D, D, P
25Q525,100%,100%,100%,100%,100%,100%,85%,71%,56%,89%,97%,,,,,,
25Q670,89%,81%,75%,81%,82%,65%,85%,71%,56%,74%,90%,2013-2014, P,WD,WD,WD, P
26Q315,N/A,N/A,N/A,N/A,N/A,N/A,85%,71%,56%,N/A,N/A,,,,,,
26Q415,82%,87%,73%,87%,84%,76%,85%,71%,56%,83%,75%,2013-2014, P, P, D, P, D
26Q430,92%,86%,77%,93%,86%,74%,85%,71%,56%,95%,93%,2011-2012, P, P, P, P,WD
26Q435,76%,53%,40%,65%,54%,45%,85%,71%,56%,70%,55%,2012-2013, D, D, D, D, D
26Q495,97%,92%,77%,97%,91%,79%,85%,71%,56%,80%,78%,,,,,,
26Q566,82%,90%,74%,86%,90%,74%,85%,71%,56%,65%,77%,2012-2013,WD, P,WD,WD, P
27Q260,79%,52%,40%,66%,59%,38%,85%,71%,56%,55%,72%,2013-2014, D, D, D, P, D
27Q262,89%,86%,61%,99%,97%,66%,85%,71%,56%,82%,88%,2011-2012,WD, P, P, P, P
27Q302,76%,61%,46%,84%,72%,28%,85%,71%,56%,78%,75%,2013-2014, D, D, D, D, P
27Q308,91%,90%,65%,89%,95%,72%,85%,71%,56%,77%,86%,2013-2014, P, D, P, P, P
27Q309,69%,65%,67%,81%,59%,55%,85%,71%,56%,80%,71%,2012-2013, P, P, P, P, P
27Q314,N/A,N/A,N/A,N/A,N/A,N/A,85%,71%,56%,N/A,N/A,,,,,,
27Q323,98%,100%,94%,100%,100%,98%,85%,71%,56%,91%,98%,,,,,,
27Q324,76%,N/A,N/A,69%,57%,N/A,85%,71%,56%,58%,63%,2012-2013, P,WD, P, P, P
27Q334,N/A,N/A,N/A,N/A,N/A,N/A,85%,71%,56%,N/A,N/A,,,,,,
27Q351,70%,N/A,N/A,72%,N/A,N/A,85%,71%,56%,57%,50%,2013-2014, P, P, P, P, P
27Q400,31%,39%,24%,66%,40%,24%,85%,71%,56%,59%,57%,2012-2013, D, D, D, D, P
27Q475,73%,58%,39%,74%,52%,36%,85%,71%,56%,80%,78%,2013-2014, D, P, D, P, D
27Q480,78%,52%,40%,76%,55%,34%,85%,71%,56%,76%,70%,2013-2014, P, P, P, P, P
27Q650,97%,98%,82%,99%,95%,74%,85%,71%,56%,70%,89%,2011-2012,WD, P, P, P, P
28Q167,97%,N/A,N/A,96%,N/A,N/A,85%,71%,56%,85%,86%,2012-2013,WD, P, P,WD,WD
28Q284,92%,94%,N/A,93%,96%,86%,85%,71%,56%,79%,86%,2011-2012,WD, P, P, P, P
28Q310,93%,80%,63%,90%,80%,68%,85%,71%,56%,69%,81%,2013-2014, P, P, D, P, D
28Q325,90%,N/A,N/A,93%,83%,N/A,85%,71%,56%,77%,85%,2012-2013, P, P, D, P, P
28Q328,83%,N/A,N/A,88%,82%,N/A,85%,71%,56%,85%,90%,2012-2013, P, P, P, P, P
28Q350,86%,95%,80%,81%,82%,78%,85%,71%,56%,79%,82%,2013-2014, P, P, P,WD, P
28Q440,88%,86%,69%,88%,84%,72%,85%,71%,56%,86%,84%,,,,,,
28Q505,83%,72%,56%,85%,74%,60%,85%,71%,56%,95%,89%,2013-2014,WD,WD, P,WD,WD
28Q620,93%,84%,71%,85%,88%,67%,85%,71%,56%,83%,78%,,,,,,
28Q680,100%,97%,83%,97%,95%,91%,85%,71%,56%,31%,79%,2013-2014,WD, P,WD,WD,WD
28Q686,87%,N/A,N/A,89%,89%,N/A,85%,71%,56%,80%,90%,2012-2013, P, P,WD,WD, P
28Q687,100%,99%,84%,99%,100%,89%,85%,71%,56%,56%,95%,,,,,,
28Q690,65%,76%,58%,57%,74%,50%,85%,71%,56%,60%,65%,2012-2013, D, D, D, P, D
28Q896,90%,87%,93%,97%,85%,79%,85%,71%,56%,58%,82%,2013-2014, P, D, D,WD, D
32K556,65%,70%,23%,80%,68%,38%,82%,68%,50%,70%,86%,,,,,,
29Q243,N/A,N/A,N/A,86%,N/A,N/A,85%,71%,56%,90%,80%,,,,,,
29Q248,91%,67%,36%,86%,66%,32%,85%,71%,56%,60%,72%,,,,,,
29Q259,74%,75%,51%,79%,81%,59%,85%,71%,56%,75%,67%,2013-2014, D, D, D, P, D
29Q265,89%,83%,46%,77%,85%,49%,85%,71%,56%,72%,67%,,,,,,
29Q272,81%,80%,50%,80%,84%,56%,85%,71%,56%,54%,66%,2013-2014, P, D, P, P, P
29Q283,84%,80%,62%,88%,81%,54%,85%,71%,56%,88%,82%,2013-2014, P,WD, P,WD,WD
29Q313,N/A,N/A,N/A,N/A,N/A,N/A,85%,71%,56%,N/A,N/A,,,,,,
29Q326,92%,N/A,N/A,94%,80%,N/A,85%,71%,56%,63%,69%,2012-2013, P, P, P, P, D
29Q327,N/A,N/A,N/A,72%,N/A,N/A,85%,71%,56%,58%,63%,2012-2013, P, D, P, P, P
29Q492,87%,69%,55%,80%,66%,50%,85%,71%,56%,71%,68%,2012-2013, P, P, P, P, P
29Q498,78%,74%,51%,71%,78%,49%,85%,71%,56%,71%,70%,2013-2014, P, D, P, P, P
30Q258,N/A,N/A,N/A,93%,N/A,N/A,85%,71%,56%,69%,83%,,,,,,
30Q286,99%,95%,N/A,98%,94%,90%,85%,71%,56%,81%,96%,,,,,,
30Q301,99%,97%,80%,98%,96%,76%,85%,71%,56%,87%,96%,2013-2014,WD,WD,WD,WD, P
30Q445,83%,66%,44%,81%,69%,46%,85%,71%,56%,78%,73%,2012-2013, D, D, D, P, D
30Q450,79%,59%,40%,76%,63%,43%,85%,71%,56%,87%,75%,2013-2014,WD,WD, P,WD,WD
30Q501,97%,94%,85%,95%,98%,80%,85%,71%,56%,75%,96%,,,,,,
30Q502,78%,67%,57%,82%,68%,49%,85%,71%,56%,73%,73%,2013-2014, P, D, D, P, P
30Q555,77%,70%,45%,71%,62%,51%,85%,71%,56%,82%,90%,,,,,,
30Q575,93%,92%,87%,93%,89%,91%,85%,71%,56%,70%,91%,2013-2014,WD, P, P,WD, P
30Q580,100%,98%,92%,99%,98%,98%,85%,71%,56%,54%,96%,2013-2014, P, D, P,WD, D
31R047,91%,97%,95%,99%,90%,88%,84%,78%,60%,64%,92%,,,,,,
31R064,89%,80%,68%,89%,91%,62%,84%,78%,60%,52%,89%,2013-2014, D, P, P, P, P
31R080,90%,92%,79%,86%,91%,79%,84%,78%,60%,87%,85%,2012-2013,WD, P,WD,WD,WD
31R440,81%,73%,51%,75%,78%,54%,84%,78%,60%,79%,75%,2011-2012,WD, P,WD,WD,WD
31R445,70%,61%,42%,75%,67%,43%,84%,78%,60%,82%,79%,2013-2014, P, P, P, P, P
31R450,78%,79%,51%,73%,80%,56%,84%,78%,60%,86%,69%,2013-2014,WD, P,WD,WD,WD
31R455,90%,83%,66%,90%,85%,66%,84%,78%,60%,91%,80%,2011-2012,WD, P, P,WD,WD
31R460,87%,81%,69%,89%,84%,70%,84%,78%,60%,89%,80%,,,,,,
31R600,81%,60%,44%,81%,75%,42%,84%,78%,60%,72%,78%,,,,,,
31R605,100%,100%,100%,99%,100%,99%,84%,78%,60%,92%,99%,,,,,,
32K168,84%,N/A,N/A,78%,N/A,N/A,82%,68%,50%,58%,64%,2013-2014,WD, P,WD,WD, P
32K403,84%,75%,37%,75%,62%,36%,82%,68%,50%,67%,76%,,,,,,
32K545,77%,70%,42%,86%,59%,53%,82%,68%,50%,78%,88%,2012-2013, D, D, D, P, D
32K549,88%,55%,34%,88%,69%,31%,82%,68%,50%,73%,85%,2013-2014, P, P, D, P, P
32K552,75%,51%,28%,72%,48%,31%,82%,68%,50%,N/A,N/A,2013-2014, P, P, D, P,WD
32K554,97%,97%,84%,100%,94%,74%,82%,68%,50%,92%,99%,,,,,,
